name,commits,commit_frequency,start_date,end_date
learn-terraform-github-actions,20.0,0.06578947368421052,2020-08-25,2021-06-25
bobbybooker.github.io,3.0,3.0,2023-02-13,2023-02-13
android_test_api,3.0,3.0,2023-02-13,2023-02-13
myrepo,3.0,3.0,2023-02-13,2023-02-13
Ejercicio-10,1.0,1.0,2023-02-13,2023-02-13
keremgorgulu,2.0,2.0,2022-10-22,2022-10-22
biomh-problems,2.0,2.0,2023-02-13,2023-02-13
git-github-fundamentals-Sean-Vu,1.0,1.0,2023-02-13,2023-02-13
DesignPatternsExercises,1.0,1.0,2023-02-13,2023-02-13
Automation-market-facebook,2.0,2.0,2023-02-13,2023-02-13
certificados,4.0,4.0,2023-02-13,2023-02-13
product-preview-card-component,6.0,3.0,2023-02-13,2023-02-13
FSML-EDE-Solid,1.0,1.0,2023-02-13,2023-02-13
map-builber,1.0,1.0,2023-02-13,2023-02-13
ZipCode-Searcher,2.0,2.0,2023-02-13,2023-02-13
SingleCell_SumScaledExpresion,1.0,1.0,2023-02-13,2023-02-13
doodlePad,1.0,1.0,2023-02-13,2023-02-13
cinema-tickets,3.0,3.0,2023-02-13,2023-02-13
epsiproject2,4.0,4.0,2023-02-13,2023-02-13
turnosVeterinaria,3.0,3.0,2023-02-13,2023-02-13
djai1,1.0,1.0,2023-02-13,2023-02-13
codespaces-react,1.0,1.0,2023-01-21,2023-01-21
my-website,2.0,2.0,2023-02-13,2023-02-13
COSC1337_Project1,1.0,1.0,2023-02-13,2023-02-13
vue-calculator,3.0,3.0,2023-02-13,2023-02-13
wuasaaaaaaaa,1.0,1.0,2023-02-13,2023-02-13
FirstContainer,13.0,13.0,2023-02-13,2023-02-13
Elgooso,1.0,1.0,2023-02-13,2023-02-13
commande,1.0,1.0,2023-02-13,2023-02-13
gsap-animation,2.0,2.0,2023-02-13,2023-02-13
GuiHSouza,1.0,1.0,2023-02-13,2023-02-13
demo2,1.0,1.0,2023-02-13,2023-02-13
bookPredictionSystem,1.0,1.0,2023-02-13,2023-02-13
weather-app,5.0,5.0,2023-02-13,2023-02-13
DIO_Livro-de-Receitas,5.0,5.0,2023-02-13,2023-02-13
Code-for-creating-a-simple-neural-network-that-classifies-EEG-data,1.0,1.0,2023-02-13,2023-02-13
todolist,4.0,1.0136986301369864,2022-12-02,2023-02-13
CSC-17C,1.0,1.0,2023-02-13,2023-02-13
Juego-Imposible,1.0,1.0,2023-02-13,2023-02-13
Metodos-Numericos,1.0,1.0,2023-02-13,2023-02-13
EFT-Servers-List,10.0,10.0,2023-02-13,2023-02-13
ignroe,1.0,1.0,2023-02-13,2023-02-13
Coderhouse-EntregaFinal-Javascript-JalilSalomon,1.0,1.0,2023-02-13,2023-02-13
PycharmProjects2,1.0,1.0,2023-02-13,2023-02-13
ecom-web-app,2.0,2.0,2023-02-13,2023-02-13
graph-ql-notes,2.0,2.0,2023-02-13,2023-02-13
javascript_animals,2.0,2.0,2023-02-13,2023-02-13
maxfeb13,2.0,2.0,2023-02-13,2023-02-13
HW1,2.0,2.0,2023-02-13,2023-02-13
rosewater,2.0,2.0,2023-02-13,2023-02-13
cmskorea_board_framework,1.0,1.0,2023-02-13,2023-02-13
code-first-exercise,8.0,0.10810810810810811,2022-12-01,2023-02-13
karina-love,4.0,4.0,2023-02-13,2023-02-13
campus-da-nova,1.0,1.0,2023-02-13,2023-02-13
demo-rotating-flex-container,2.0,2.0,2023-02-13,2023-02-13
Estructuras_de_almacenamiento_complejas,2.0,2.0,2023-02-13,2023-02-13
git_test,3.0,3.0,2023-02-13,2023-02-13
TodoList,2.0,2.0,2023-02-13,2023-02-13
ProjetoFlutter,1.0,1.0,2023-02-13,2023-02-13
ReactNative-Movieapp-task,1.0,1.0,2023-02-13,2023-02-13
Valentine,1.0,1.0,2023-02-13,2023-02-13
DevOps-EAD,2.0,2.0,2023-02-13,2023-02-13
BurgerShack,5.0,5.0,2023-02-13,2023-02-13
Angular-PW3---I,2.0,2.0,2023-02-13,2023-02-13
Teste-para-o-github,2.0,2.0,2023-02-13,2023-02-13
aula-github,2.0,2.0,2023-02-13,2023-02-13
ask_it,19.0,0.5757575757575758,2023-01-11,2023-02-13
3D-Video-Game-,4.0,4.0,2023-02-13,2023-02-13
testowy,2.0,2.0,2023-02-13,2023-02-13
AdelinoNetto,1.0,1.0,2023-02-13,2023-02-13
Hello-World,2.0,2.0,2023-02-13,2023-02-13
Weather-App-,10.0,10.0,2023-02-13,2023-02-13
nodejs-test,1.0,1.0,2023-02-13,2023-02-13
workflows_demo,7.0,3.5,2023-02-13,2023-02-13
decision_structure,1.0,1.0,2023-02-13,2023-02-13
lnding,1.0,1.0,2023-02-13,2023-02-13
AndroidStudio-DibujarImagen,1.0,1.0,2023-02-13,2023-02-13
ROracle,3.0,3.0,2023-02-13,2023-02-13
Predicting-Customer-Oil-Consumption,10.0,10.0,2023-02-13,2023-02-13
api-playground,2.0,2.0,2023-02-13,2023-02-13
to-do-list,1.0,1.0,2023-02-13,2023-02-13
odinx2.github.io,1.0,1.0,2023-02-13,2023-02-13
dh-front-ii,1.0,1.0,2023-02-13,2023-02-13
chemistry-channel,3.0,3.0,2023-02-12,2023-02-13
o,2.0,2.0,2023-02-13,2023-02-13
studentorganizer,1.0,1.0,2023-02-13,2023-02-13
playWithLightsThreeJS,1.0,1.0,2023-02-13,2023-02-13
recipe-search-t6,1.0,1.0,2023-02-13,2023-02-13
Console_OpenAi,4.0,4.0,2023-02-13,2023-02-13
Devschool-OLD-,1.0,1.0,2023-02-13,2023-02-13
SimpleWindowsFormCalculator,2.0,2.0,2023-02-13,2023-02-13
Derneira,2.0,2.0,2023-02-13,2023-02-13
exercicios-ebac,2.0,2.0,2023-02-13,2023-02-13
feb-prueba,5.0,5.0,2023-02-13,2023-02-13
dukedavincci.github.io,1.0,1.0,2023-02-13,2023-02-13
Mis-Custom-Hooks,2.0,2.0,2023-02-13,2023-02-13
c47Project,1.0,1.0,2023-02-13,2023-02-13
Floripa-Mais-tec,1.0,1.0,2023-02-13,2023-02-13
earthquake,1.0,1.0,2023-02-13,2023-02-13
exercicio5-ignitenode-swagger,3.0,3.0,2023-02-13,2023-02-13
dailydiet,2.0,0.029850746268656716,2022-12-08,2023-02-13
monte-carlo-method-pi-estimation,1.0,1.0,2023-02-13,2023-02-13
Lab_04_01_SalesTax,1.0,1.0,2023-02-13,2023-02-13
lerArquivo_C,2.0,2.0,2023-02-13,2023-02-13
swing-sqlite-viewer,2.0,2.0,2023-02-13,2023-02-13
signal_processing,1.0,1.0,2023-02-13,2023-02-13
mario-run,1.0,1.0,2023-02-13,2023-02-13
frontend-demo,1.0,1.0,2023-02-13,2023-02-13
KP7LazyColumEvent,1.0,1.0,2023-02-13,2023-02-13
8a93246b-d5d4-4aba-9eb4-67a3cff0c405,1.0,1.0,2023-02-13,2023-02-13
Formulatrix,6.0,6.0,2023-02-13,2023-02-13
IntroToGitHub,11.0,11.0,2023-02-13,2023-02-13
curso-fullstack,4.0,4.0,2023-02-13,2023-02-13
api-node-escript,1.0,1.0,2023-02-13,2023-02-13
nelio-alves-s4-exercicio-1,1.0,1.0,2023-02-13,2023-02-13
testes,2.0,2.0,2023-02-13,2023-02-13
Springboot-Demo-Java,4.0,4.0,2023-02-13,2023-02-13
aula-13-02,1.0,1.0,2023-02-13,2023-02-13
astride,2.0,2.0,2023-02-13,2023-02-13
news-homepage,1.0,1.0,2023-02-13,2023-02-13
C_9,8.0,1.6,2023-02-08,2023-02-13
psychic-octo-eureka,1.0,1.0,2023-02-13,2023-02-13
Chapo,8.0,8.0,2023-02-13,2023-02-13
drewandersen25.github.io,1.0,1.0,2023-02-13,2023-02-13
Book-Finder-,4.0,4.0,2023-02-13,2023-02-13
Python-Project-for-Data-Science-Course,3.0,3.0,2023-02-13,2023-02-13
igniteteams,2.0,0.023809523809523808,2022-11-21,2023-02-13
MyWebApp,4.0,4.0,2023-02-13,2023-02-13
vk18,1.0,1.0,2023-02-13,2023-02-13
Lesson3,3.0,3.0,2023-02-13,2023-02-13
omnifood,3.0,3.0,2023-02-13,2023-02-13
Peter,2.0,2.0,2023-02-13,2023-02-13
box_C35_ind_ou_C36_grupo,1.0,1.0,2023-02-13,2023-02-13
SB_20182_TP01,1.0,1.0,2023-02-13,2023-02-13
hello-react-dapp,2.0,2.0,2023-02-13,2023-02-13
candycrush,14.0,14.0,2023-02-13,2023-02-13
SegundoSemestre_JAVA,1.0,1.0,2023-02-13,2023-02-13
rs_shortener,4.0,4.0,2023-02-08,2023-02-09
wedding-invitation-for-programmers,1.0,1.0,2023-02-13,2023-02-13
CSYE7125_Webapp-db,1.0,1.0,2023-02-13,2023-02-13
primeiro,2.0,2.0,2023-02-13,2023-02-13
Connect4-nural-network,2.0,2.0,2023-02-13,2023-02-13
Cpp_Concurrent_Programming_Notify_One,5.0,5.0,2023-02-13,2023-02-13
frontend2-mesa1,1.0,1.0,2023-02-13,2023-02-13
tindering,2.0,0.6666666666666666,2023-02-10,2023-02-13
CRUD,2.0,2.0,2023-02-13,2023-02-13
kiwify,8.0,8.0,2023-02-13,2023-02-13
24hrsHackathon,2.0,2.0,2023-02-13,2023-02-13
repositorio-com-readme,2.0,2.0,2023-02-13,2023-02-13
mpp-cursor-bot,5.0,5.0,2023-02-13,2023-02-13
curso_git_1,1.0,1.0,2023-02-13,2023-02-13
sauron-1676330647441-public-cmw-share,1.0,1.0,2023-02-13,2023-02-13
Edurekatest,1.0,1.0,2023-02-13,2023-02-13
Gustaflix,2.0,2.0,2023-02-13,2023-02-13
tercero,2.0,2.0,2023-02-13,2023-02-13
codigo-otros-3,2.0,0.009216589861751152,2022-07-11,2023-02-13
Egg,1.0,1.0,2023-02-13,2023-02-13
Finance-Data-Analysis,3.0,3.0,2023-02-13,2023-02-13
c12,1.0,1.0,2023-02-13,2023-02-13
Trabajos-Omar-,7.0,7.0,2023-02-13,2023-02-13
web_3,1.0,1.0,2023-02-13,2023-02-13
my-portfolio,2.0,2.0,2023-02-13,2023-02-13
imhere,2.0,0.023809523809523808,2022-11-21,2023-02-13
perlin-noise-renderer,1.0,1.0,2023-02-13,2023-02-13
pricing-component-toggle,2.0,2.0,2023-02-13,2023-02-13
vue-portfolio,1.0,1.0,2023-02-13,2023-02-13
tasks,6.0,6.0,2023-02-13,2023-02-13
HW4,1.0,1.0,2023-02-13,2023-02-13
Fisioligics,1.0,1.0,2023-02-13,2023-02-13
miweb,7.0,7.0,2023-02-13,2023-02-13
Eagle-Library,2.0,2.0,2023-02-13,2023-02-13
