2023-05-25 09:37:36.108 INFO  [140623721273088] ConsumerStatsImpl:68 | Consumer [persistent://public/default/FrequentlyUpdatedProjectsTopic, my-subscription, 0] , ConsumerStatsImpl (numBytesRecieved_ = 0, totalNumBytesRecieved_ = 0, receivedMsgMap_ = {}, ackedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 664], }, totalReceivedMsgMap_ = {}, totalAckedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 1947], })
2023-05-25 09:37:36.125 INFO  [140623721273088] ProducerStatsImpl:87 | Producer [persistent://public/default/CommitsTopic, ] , ProducerStatsImpl (numMsgsSent_ = 563, numBytesSent_ = 3204724, sendMap_ = {[Key: Ok, Value: 563], }, latencyAccumulator_ = Latencies [ 50pct: 104.738ms, 90pct: 586.07ms, 99pct: 1278.76ms, 99.9pct: 1500.83ms], totalMsgsSent_ = 1665, totalBytesSent_ = 9461983, totalAcksReceived_ = , totalSendMap_ = {[Key: Ok, Value: 1665], }, totalLatencyAccumulator_ = Latencies [ 50pct: 97.6777ms, 90pct: 549.017ms, 99pct: 1151.44ms, 99.9pct: 1699.08ms])
2023-05-25 09:47:36.108 INFO  [140623721273088] ConsumerStatsImpl:68 | Consumer [persistent://public/default/FrequentlyUpdatedProjectsTopic, my-subscription, 0] , ConsumerStatsImpl (numBytesRecieved_ = 0, totalNumBytesRecieved_ = 0, receivedMsgMap_ = {}, ackedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 683], }, totalReceivedMsgMap_ = {}, totalAckedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 2630], })
2023-05-25 09:47:36.134 INFO  [140623721273088] ProducerStatsImpl:87 | Producer [persistent://public/default/CommitsTopic, ] , ProducerStatsImpl (numMsgsSent_ = 574, numBytesSent_ = 3251546, sendMap_ = {[Key: Ok, Value: 574], }, latencyAccumulator_ = Latencies [ 50pct: 120.734ms, 90pct: 630.021ms, 99pct: 1411.51ms, 99.9pct: 1631.97ms], totalMsgsSent_ = 2239, totalBytesSent_ = 12713529, totalAcksReceived_ = , totalSendMap_ = {[Key: Ok, Value: 2239], }, totalLatencyAccumulator_ = Latencies [ 50pct: 104.956ms, 90pct: 576.871ms, 99pct: 1217.81ms, 99.9pct: 1699.08ms])
2023-05-25 09:57:36.108 INFO  [140623721273088] ConsumerStatsImpl:68 | Consumer [persistent://public/default/FrequentlyUpdatedProjectsTopic, my-subscription, 0] , ConsumerStatsImpl (numBytesRecieved_ = 0, totalNumBytesRecieved_ = 0, receivedMsgMap_ = {}, ackedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 669], }, totalReceivedMsgMap_ = {}, totalAckedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 3299], })
2023-05-25 09:57:36.134 INFO  [140623721273088] ProducerStatsImpl:87 | Producer [persistent://public/default/CommitsTopic, ] , ProducerStatsImpl (numMsgsSent_ = 572, numBytesSent_ = 3252094, sendMap_ = {[Key: Ok, Value: 572], }, latencyAccumulator_ = Latencies [ 50pct: 127.64ms, 90pct: 727.688ms, 99pct: 1421.08ms, 99.9pct: 1568.74ms], totalMsgsSent_ = 2811, totalBytesSent_ = 15965623, totalAcksReceived_ = , totalSendMap_ = {[Key: Ok, Value: 2811], }, totalLatencyAccumulator_ = Latencies [ 50pct: 109.413ms, 90pct: 621.662ms, 99pct: 1294.8ms, 99.9pct: 1761.49ms])
2023-05-25 10:07:36.108 INFO  [140623721273088] ConsumerStatsImpl:68 | Consumer [persistent://public/default/FrequentlyUpdatedProjectsTopic, my-subscription, 0] , ConsumerStatsImpl (numBytesRecieved_ = 0, totalNumBytesRecieved_ = 0, receivedMsgMap_ = {}, ackedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 674], }, totalReceivedMsgMap_ = {}, totalAckedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 3973], })
2023-05-25 10:07:36.134 INFO  [140623721273088] ProducerStatsImpl:87 | Producer [persistent://public/default/CommitsTopic, ] , ProducerStatsImpl (numMsgsSent_ = 581, numBytesSent_ = 3301193, sendMap_ = {[Key: Ok, Value: 580], }, latencyAccumulator_ = Latencies [ 50pct: 147.297ms, 90pct: 670.243ms, 99pct: 1568.14ms, 99.9pct: 1954.28ms], totalMsgsSent_ = 3392, totalBytesSent_ = 19266816, totalAcksReceived_ = , totalSendMap_ = {[Key: Ok, Value: 3391], }, totalLatencyAccumulator_ = Latencies [ 50pct: 116.181ms, 90pct: 633.755ms, 99pct: 1344.95ms, 99.9pct: 1957.72ms])
2023-05-25 10:17:36.108 INFO  [140623721273088] ConsumerStatsImpl:68 | Consumer [persistent://public/default/FrequentlyUpdatedProjectsTopic, my-subscription, 0] , ConsumerStatsImpl (numBytesRecieved_ = 0, totalNumBytesRecieved_ = 0, receivedMsgMap_ = {}, ackedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 669], }, totalReceivedMsgMap_ = {}, totalAckedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 4642], })
2023-05-25 10:17:36.134 INFO  [140623721273088] ProducerStatsImpl:87 | Producer [persistent://public/default/CommitsTopic, ] , ProducerStatsImpl (numMsgsSent_ = 594, numBytesSent_ = 3356410, sendMap_ = {[Key: Ok, Value: 595], }, latencyAccumulator_ = Latencies [ 50pct: 145.107ms, 90pct: 675.75ms, 99pct: 1462.96ms, 99.9pct: 1836.15ms], totalMsgsSent_ = 3986, totalBytesSent_ = 22623226, totalAcksReceived_ = , totalSendMap_ = {[Key: Ok, Value: 3986], }, totalLatencyAccumulator_ = Latencies [ 50pct: 120.053ms, 90pct: 643.83ms, 99pct: 1375.87ms, 99.9pct: 1957.72ms])
2023-05-25 10:27:36.108 INFO  [140623721273088] ConsumerStatsImpl:68 | Consumer [persistent://public/default/FrequentlyUpdatedProjectsTopic, my-subscription, 0] , ConsumerStatsImpl (numBytesRecieved_ = 0, totalNumBytesRecieved_ = 0, receivedMsgMap_ = {}, ackedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 697], }, totalReceivedMsgMap_ = {}, totalAckedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 5339], })
2023-05-25 10:27:36.134 INFO  [140623721273088] ProducerStatsImpl:87 | Producer [persistent://public/default/CommitsTopic, ] , ProducerStatsImpl (numMsgsSent_ = 609, numBytesSent_ = 3465395, sendMap_ = {[Key: Ok, Value: 609], }, latencyAccumulator_ = Latencies [ 50pct: 130.521ms, 90pct: 608.376ms, 99pct: 1178.47ms, 99.9pct: 1504.02ms], totalMsgsSent_ = 4595, totalBytesSent_ = 26088621, totalAcksReceived_ = , totalSendMap_ = {[Key: Ok, Value: 4595], }, totalLatencyAccumulator_ = Latencies [ 50pct: 121.959ms, 90pct: 640.731ms, 99pct: 1365.92ms, 99.9pct: 1957.72ms])
2023-05-25 10:37:36.109 INFO  [140623721273088] ConsumerStatsImpl:68 | Consumer [persistent://public/default/FrequentlyUpdatedProjectsTopic, my-subscription, 0] , ConsumerStatsImpl (numBytesRecieved_ = 0, totalNumBytesRecieved_ = 0, receivedMsgMap_ = {}, ackedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 629], }, totalReceivedMsgMap_ = {}, totalAckedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 5968], })
2023-05-25 10:37:36.135 INFO  [140623721273088] ProducerStatsImpl:87 | Producer [persistent://public/default/CommitsTopic, ] , ProducerStatsImpl (numMsgsSent_ = 550, numBytesSent_ = 3115854, sendMap_ = {[Key: Ok, Value: 550], }, latencyAccumulator_ = Latencies [ 50pct: 108.597ms, 90pct: 672.63ms, 99pct: 1335.51ms, 99.9pct: 1559.52ms], totalMsgsSent_ = 5145, totalBytesSent_ = 29204475, totalAcksReceived_ = , totalSendMap_ = {[Key: Ok, Value: 5145], }, totalLatencyAccumulator_ = Latencies [ 50pct: 120.828ms, 90pct: 640.081ms, 99pct: 1356.79ms, 99.9pct: 1999.23ms])
2023-05-25 10:47:36.109 INFO  [140623721273088] ConsumerStatsImpl:68 | Consumer [persistent://public/default/FrequentlyUpdatedProjectsTopic, my-subscription, 0] , ConsumerStatsImpl (numBytesRecieved_ = 0, totalNumBytesRecieved_ = 0, receivedMsgMap_ = {}, ackedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 664], }, totalReceivedMsgMap_ = {}, totalAckedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 6632], })
2023-05-25 10:47:36.135 INFO  [140623721273088] ProducerStatsImpl:87 | Producer [persistent://public/default/CommitsTopic, ] , ProducerStatsImpl (numMsgsSent_ = 594, numBytesSent_ = 3362404, sendMap_ = {[Key: Ok, Value: 594], }, latencyAccumulator_ = Latencies [ 50pct: 125.057ms, 90pct: 662.179ms, 99pct: 1426.62ms, 99.9pct: 1597.9ms], totalMsgsSent_ = 5739, totalBytesSent_ = 32566879, totalAcksReceived_ = , totalSendMap_ = {[Key: Ok, Value: 5739], }, totalLatencyAccumulator_ = Latencies [ 50pct: 121.395ms, 90pct: 642.854ms, 99pct: 1370.87ms, 99.9pct: 1999.23ms])
2023-05-25 10:57:36.109 INFO  [140623721273088] ConsumerStatsImpl:68 | Consumer [persistent://public/default/FrequentlyUpdatedProjectsTopic, my-subscription, 0] , ConsumerStatsImpl (numBytesRecieved_ = 0, totalNumBytesRecieved_ = 0, receivedMsgMap_ = {}, ackedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 727], }, totalReceivedMsgMap_ = {}, totalAckedMsgMap_ = {[Key: {Result: Ok, ackType: 0}, Value: 7359], })
2023-05-25 10:57:36.136 INFO  [140623721273088] ProducerStatsImpl:87 | Producer [persistent://public/default/CommitsTopic, ] , ProducerStatsImpl (numMsgsSent_ = 635, numBytesSent_ = 3636204, sendMap_ = {[Key: Ok, Value: 635], }, latencyAccumulator_ = Latencies [ 50pct: 74.7663ms, 90pct: 545.802ms, 99pct: 1025.43ms, 99.9pct: 1330.52ms], totalMsgsSent_ = 6374, totalBytesSent_ = 36203083, totalAcksReceived_ = , totalSendMap_ = {[Key: Ok, Value: 6374], }, totalLatencyAccumulator_ = Latencies [ 50pct: 116.296ms, 90pct: 628.723ms, 99pct: 1338.6ms, 99.9pct: 1999.23ms])
